CellLine,TissueOrigin,rail_id,external_id,study,BigWigURL
TE15,OESOPHAGUS,2245717,SRR8615222,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/22/sra.base_sums.SRP186687_SRR8615222.ALL.bw
OCIMY5,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2245750,SRR8615223,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/23/sra.base_sums.SRP186687_SRR8615223.ALL.bw
OCIMY7,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2245780,SRR8615224,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/24/sra.base_sums.SRP186687_SRR8615224.ALL.bw
OCUM1,STOMACH,2245811,SRR8615225,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/25/sra.base_sums.SRP186687_SRR8615225.ALL.bw
OE19,OESOPHAGUS,2245845,SRR8615226,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/26/sra.base_sums.SRP186687_SRR8615226.ALL.bw
OE21,OESOPHAGUS,2245876,SRR8615227,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/27/sra.base_sums.SRP186687_SRR8615227.ALL.bw
OELE,OVARY,2245941,SRR8615229,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/29/sra.base_sums.SRP186687_SRR8615229.ALL.bw
ONCODG1,OVARY,2246164,SRR8615230,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/30/sra.base_sums.SRP186687_SRR8615230.ALL.bw
MESSA,SOFT_TISSUE,2246198,SRR8615231,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/31/sra.base_sums.SRP186687_SRR8615231.ALL.bw
MELJUSO,SKIN,2246230,SRR8615232,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/32/sra.base_sums.SRP186687_SRR8615232.ALL.bw
MELHO,SKIN,2246264,SRR8615233,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/33/sra.base_sums.SRP186687_SRR8615233.ALL.bw
MEG01,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2246296,SRR8615234,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/34/sra.base_sums.SRP186687_SRR8615234.ALL.bw
MFE319,ENDOMETRIUM,2246326,SRR8615235,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/35/sra.base_sums.SRP186687_SRR8615235.ALL.bw
MFE296,ENDOMETRIUM,2246358,SRR8615236,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/36/sra.base_sums.SRP186687_SRR8615236.ALL.bw
MFE280,ENDOMETRIUM,2246390,SRR8615237,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/37/sra.base_sums.SRP186687_SRR8615237.ALL.bw
MEWO,SKIN,2246423,SRR8615238,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/38/sra.base_sums.SRP186687_SRR8615238.ALL.bw
MHHCALL2,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2246454,SRR8615239,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/39/sra.base_sums.SRP186687_SRR8615239.ALL.bw
MG63,BONE,2246677,SRR8615240,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/40/sra.base_sums.SRP186687_SRR8615240.ALL.bw
PANC0213,PANCREAS,2246710,SRR8615241,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/41/sra.base_sums.SRP186687_SRR8615241.ALL.bw
OCIAML3,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2246742,SRR8615242,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/42/sra.base_sums.SRP186687_SRR8615242.ALL.bw
OAW28,OVARY,2246776,SRR8615243,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/43/sra.base_sums.SRP186687_SRR8615243.ALL.bw
NUGC4,STOMACH,2246805,SRR8615244,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/44/sra.base_sums.SRP186687_SRR8615244.ALL.bw
SW1271,LUNG,2246837,SRR8615245,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/45/sra.base_sums.SRP186687_SRR8615245.ALL.bw
CAPAN2,PANCREAS,2246871,SRR8615246,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/46/sra.base_sums.SRP186687_SRR8615246.ALL.bw
CAPAN1,PANCREAS,2246903,SRR8615247,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/47/sra.base_sums.SRP186687_SRR8615247.ALL.bw
CCFSTTG1,CENTRAL_NERVOUS_SYSTEM,2246936,SRR8615248,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/48/sra.base_sums.SRP186687_SRR8615248.ALL.bw
CAS1,CENTRAL_NERVOUS_SYSTEM,2246968,SRR8615249,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/49/sra.base_sums.SRP186687_SRR8615249.ALL.bw
CFPAC1,PANCREAS,2247193,SRR8615250,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/50/sra.base_sums.SRP186687_SRR8615250.ALL.bw
CCK81,LARGE_INTESTINE,2247225,SRR8615251,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/51/sra.base_sums.SRP186687_SRR8615251.ALL.bw
NCIH2073,LUNG,2247259,SRR8615252,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/52/sra.base_sums.SRP186687_SRR8615252.ALL.bw
NCIH2066,LUNG,2247291,SRR8615253,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/53/sra.base_sums.SRP186687_SRR8615253.ALL.bw
NCIH2052,PLEURA,2247323,SRR8615254,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/54/sra.base_sums.SRP186687_SRR8615254.ALL.bw
NCIH2030,LUNG,2247354,SRR8615255,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/55/sra.base_sums.SRP186687_SRR8615255.ALL.bw
NCIH2029,LUNG,2247383,SRR8615256,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/56/sra.base_sums.SRP186687_SRR8615256.ALL.bw
NCIH2023,LUNG,2247416,SRR8615257,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/57/sra.base_sums.SRP186687_SRR8615257.ALL.bw
NCIH2009,LUNG,2247449,SRR8615258,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/58/sra.base_sums.SRP186687_SRR8615258.ALL.bw
NCIH2004RT,SOFT_TISSUE,2247480,SRR8615259,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/59/sra.base_sums.SRP186687_SRR8615259.ALL.bw
NCIH1975,LUNG,2247704,SRR8615260,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/60/sra.base_sums.SRP186687_SRR8615260.ALL.bw
NCIH196,LUNG,2247736,SRR8615261,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/61/sra.base_sums.SRP186687_SRR8615261.ALL.bw
OCIM1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2247769,SRR8615262,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/62/sra.base_sums.SRP186687_SRR8615262.ALL.bw
OCILY3,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2247798,SRR8615263,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/63/sra.base_sums.SRP186687_SRR8615263.ALL.bw
