gene,Position,Gene synonym,Ensembl,Gene description
A1BG,chr19:58345178-58353492,NA,ENSG00000121410,Alpha-1-B glycoprotein
A1CF,chr10:50799409-50885675,"ACF, ACF64, ACF65, APOBEC1CF, ASP",ENSG00000148584,APOBEC1 complementation factor
A2M,chr12:9067664-9116229,"CPAMD5, FWP007, S863-7",ENSG00000175899,Alpha-2-macroglobulin
A2ML1,chr12:8822621-8887001,"CPAMD9, FLJ25179, p170",ENSG00000166535,Alpha-2-macroglobulin like 1
A3GALT2,chr1:33306766-33321098,"A3GALT2P, IGB3S, IGBS3S",ENSG00000184389,"Alpha 1,3-galactosyltransferase 2"
A4GALT,chr22:42692121-42721298,"A14GALT, Gb3S, P(k), P1",ENSG00000128274,"Alpha 1,4-galactosyltransferase (P blood group)"
A4GNT,chr3:138123713-138132390,alpha4GnT,ENSG00000118017,"Alpha-1,4-N-acetylglucosaminyltransferase"
AAAS,chr12:53307456-53324864,NA,ENSG00000094914,Aladin WD repeat nucleoporin
AACS,chr12:125065434-125143333,"ACSF1, FLJ12389, SUR-5",ENSG00000081760,Acetoacetyl-CoA synthetase
AADAC,chr3:151814073-151828488,"CES5A1, DAC",ENSG00000114771,Arylacetamide deacetylase
AADACL2,chr3:151733916-151761339,MGC72001,ENSG00000197953,Arylacetamide deacetylase like 2
AADACL3,chr1:12716110-12728760,NA,ENSG00000188984,Arylacetamide deacetylase like 3
AADACL4,chr1:12644085-12667076,NA,ENSG00000204518,Arylacetamide deacetylase like 4
AADAT,chr4:170060222-170091699,"KAT2, KATII, KYAT2",ENSG00000109576,Aminoadipate aminotransferase
AAGAB,chr15:67200667-67255195,"FLJ11506, p34",ENSG00000103591,Alpha and gamma adaptin binding protein
AAK1,chr2:69457997-69674349,"DKFZp686K16132, KIAA1048",ENSG00000115977,AP2 associated kinase 1
AAMDC,chr11:77821109-77918432,"C11orf67, CK067, FLJ21035, PTD015",ENSG00000087884,Adipogenesis associated Mth938 domain containing
AAMP,chr2:218264129-218270178,NA,ENSG00000127837,Angio associated migratory cell protein
AANAT,chr17:76453351-76470117,SNAT,ENSG00000129673,Aralkylamine N-acetyltransferase
AAR2,chr20:36236131-36270918,"bA234K24.2, C20orf4",ENSG00000131043,AAR2 splicing factor
AARD,chr8:116938207-116944487,"C8orf85, LOC441376",ENSG00000205002,Alanine and arginine rich domain containing protein
AARS1,chr16:70251983-70289707,"AARS, AlaRS, CMT2N",ENSG00000090861,Alanyl-tRNA synthetase 1
AARS2,chr6:44298731-44313347,"AARSL, bA444E17.1, KIAA1270",ENSG00000124608,"Alanyl-tRNA synthetase 2, mitochondrial"
AARSD1,chr17:42950526-42964498,"AlaXp, MGC2744",ENSG00000266967,Alanyl-tRNA synthetase domain containing 1
AASDH,chr4:56338287-56387508,"ACSF4, LYS2, NRPS998",ENSG00000157426,Aminoadipate-semialdehyde dehydrogenase
AASDHPPT,chr11:106075501-106098699,"AASD-PPT, ACPS, CGI-80, LYS5",ENSG00000149313,Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS,chr7:122064583-122144308,"LKRSDH, LORSDH",ENSG00000008311,Aminoadipate-semialdehyde synthase
AATF,chr17:36948925-37056871,"BFR2, CHE-1, CHE1, DED",ENSG00000275700,Apoptosis antagonizing transcription factor
AATK,chr17:81110487-81166221,"AATYK, AATYK1, KIAA0641, LMR1, LMTK1, PPP1R77",ENSG00000181409,Apoptosis associated tyrosine kinase
ABAT,chr16:8674596-8784575,"GABA-T, GABAT",ENSG00000183044,4-aminobutyrate aminotransferase
ABCA1,chr9:104781006-104928155,"ABC1, HDLDT1, TGD",ENSG00000165029,ATP binding cassette subfamily A member 1
ABCA10,chr17:69147214-69244846,EST698739,ENSG00000154263,ATP binding cassette subfamily A member 10
ABCA12,chr2:214931542-215138626,"DKFZP434G232, ICR2B, LI2",ENSG00000144452,ATP binding cassette subfamily A member 12
ABCA13,chr7:48171458-48647497,"FLJ33876, FLJ33951",ENSG00000179869,ATP binding cassette subfamily A member 13
ABCA2,chr9:137007234-137028915,ABC2,ENSG00000107331,ATP binding cassette subfamily A member 2
ABCA3,chr16:2275881-2340746,"ABC-C, ABC3, EST111653, LBM180",ENSG00000167972,ATP binding cassette subfamily A member 3
ABCA4,chr1:93992834-94121148,"ABCR, ARMD2, CORD3, FFM, RP19, STGD, STGD1",ENSG00000198691,ATP binding cassette subfamily A member 4
ABCA5,chr17:69244311-69327244,EST90625,ENSG00000154265,ATP binding cassette subfamily A member 5
ABCA6,chr17:69078702-69141895,EST155051,ENSG00000154262,ATP binding cassette subfamily A member 6
ABCA7,chr19:1039997-1065572,ABCX,ENSG00000064687,ATP binding cassette subfamily A member 7
ABCA8,chr17:68867289-68955392,KIAA0822,ENSG00000141338,ATP binding cassette subfamily A member 8
ABCA9,chr17:68974488-69060949,EST640918,ENSG00000154258,ATP binding cassette subfamily A member 9
ABCB1,chr7:87503017-87713323,"ABC20, CD243, CLCS, GP170, MDR1, p-170, P-gp, PGY1",ENSG00000085563,ATP binding cassette subfamily B member 1
ABCB10,chr1:229516582-229558707,"EST20237, M-ABC2, MTABC2",ENSG00000135776,ATP binding cassette subfamily B member 10
